date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2023-10-17,3138,競價,20,4.5,158.0,2024-04-17,183
2023-11-06,3138,競價,12,2.5,149.0,2024-05-06,182
2023-11-08,3138,競價,10,3.0,150.0,2024-05-08,182
2023-12-07,3138,競價,3,4.5,161.0,2024-06-07,183
2023-12-13,3138,議借,60,6.0,156.5,2024-06-13,183
2023-12-21,3138,議借,25,5.9,153.5,2024-06-21,183
2023-12-28,3138,競價,12,4.0,154.5,2024-06-28,183
2024-01-08,3138,競價,9,4.0,151.0,2024-07-08,182
2024-01-10,3138,議借,61,5.9,156.0,2024-07-10,182
2024-01-11,3138,議借,11,9.0,156.0,2024-07-11,182
2024-01-19,3138,議借,18,16.0,147.5,2024-07-19,182
2024-01-24,3138,競價,16,4.0,149.0,2024-07-24,182
2024-03-01,3138,競價,2,3.0,138.5,2024-08-30,182
2024-03-07,3138,議借,69,0.02,134.5,2024-09-06,183
2024-03-08,3138,競價,10,5.0,130.0,2024-09-06,182
2024-03-12,3138,議借,34,0.02,134.0,2024-09-12,184
2024-03-13,3138,競價,3,3.0,130.0,2024-09-13,184
2024-03-29,3138,議借,29,12.6,133.0,2024-09-27,182
2024-04-24,3138,競價,80,15.0,128.0,2024-10-24,183
2024-04-29,3138,議借,26,7.25,128.5,2024-10-29,183
2024-05-02,3138,競價,11,5.0,128.5,2024-11-01,183
2024-05-09,3138,議借,11,8.0,132.0,2024-11-08,183
2024-05-23,3138,議借,32,6.05,134.0,2024-11-22,183
2024-05-27,3138,議借,48,0.29,134.5,2024-11-27,184
2024-06-05,3138,議借,46,0.02,132.5,2024-12-05,183
2024-06-19,3138,競價,6,5.0,129.0,2024-12-19,183
2024-06-25,3138,競價,2,5.0,126.0,2024-12-25,183
2024-07-03,3138,競價,1,5.0,126.0,2025-01-03,184
2024-07-29,3138,議借,6,0.03,118.0,2025-01-29,184
2024-08-09,3138,競價,7,5.0,107.5,2025-02-07,182
2024-09-04,3138,議借,29,6.1,117.0,2025-03-04,181
2024-09-06,3138,議借,29,6.3,118.0,2025-03-06,181
2024-10-22,3138,競價,3,3.0,116.0,2025-04-22,182
2024-10-24,3138,議借,118,0.41,115.5,2025-04-24,182
2024-11-11,3138,議借,53,5.0,110.5,2025-05-09,179
2025-01-06,3138,議借,43,0.05,111.0,2025-07-04,179
2025-02-11,3138,競價,20,3.0,111.0,2025-08-11,181
2025-03-10,3138,議借,239,4.0,117.0,2025-09-10,184
2025-03-18,3138,議借,40,3.0,107.0,2025-09-18,184
2025-03-24,3138,議借,150,2.0,103.0,2025-09-24,184
2025-04-15,3138,議借,6,6.1,80.2,2025-10-15,183
2025-05-21,3138,議借,16,6.1,91.3,2025-11-21,184
2025-06-06,3138,議借,44,10.0,92.0,2025-12-05,182
2025-06-11,3138,議借,41,11.0,89.9,2025-12-11,183
