date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2023-08-30,2832,競價,5,1.0,23.5,2024-02-29,183
2023-11-09,2832,議借,274,0.41,24.85,2024-05-09,182
2024-01-18,2832,議借,392,0.37,25.7,2024-07-18,182
2024-01-30,2832,議借,26,0.05,26.15,2024-07-30,182
2024-02-06,2832,議借,219,0.37,26.0,2024-08-06,182
2024-02-06,2832,議借,257,0.41,26.0,2024-08-06,182
2024-03-18,2832,議借,1103,6.11,26.4,2024-09-18,184
2024-05-07,2832,議借,1293,0.25,29.3,2024-11-07,184
2024-06-14,2832,議借,500,0.85,28.55,2024-12-13,182
2024-07-23,2832,議借,357,0.41,28.0,2025-01-23,184
2024-08-01,2832,議借,1232,6.13,28.4,2025-01-31,183
2024-08-12,2832,議借,227,0.7,28.15,2025-02-12,184
2024-08-28,2832,議借,174,0.02,29.95,2025-02-28,184
2024-10-04,2832,議借,112,1.0,28.0,2025-04-04,182
2024-10-04,2832,議借,386,0.77,28.0,2025-04-04,182
2024-10-07,2832,議借,98,1.0,28.0,2025-04-07,182
2024-10-30,2832,議借,261,0.37,28.0,2025-04-30,182
2024-11-05,2832,議借,129,1.0,28.25,2025-05-05,181
2024-11-11,2832,議借,190,0.9,28.3,2025-05-09,179
2025-01-08,2832,議借,965,0.05,28.75,2025-07-08,181
2025-03-04,2832,議借,600,0.81,30.4,2025-09-04,184
2025-03-18,2832,議借,400,0.85,33.6,2025-09-18,184
2025-04-17,2832,議借,487,0.37,31.95,2025-10-17,183
2025-04-18,2832,議借,150,0.81,31.7,2025-10-17,182
2025-05-08,2832,議借,636,0.37,35.05,2025-11-07,183
2025-05-14,2832,議借,994,0.25,34.95,2025-11-14,184
2025-06-03,2832,議借,92,1.0,34.1,2025-12-03,183
2025-06-03,2832,議借,221,0.76,34.1,2025-12-03,183
2025-06-10,2832,議借,910,1.5,34.3,2025-12-10,183
2025-06-12,2832,議借,250,1.5,34.0,2025-12-12,183
2025-06-23,2832,議借,947,5.14,31.6,2025-12-23,183
2025-07-15,2832,議借,26,0.05,30.35,2026-01-15,184
2025-09-19,2832,議借,913,0.25,35.1,2026-03-19,181
