date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2023-08-17,6768,競價,1,3.0,61.6,2024-02-16,183
2023-10-12,6768,議借,22,0.05,67.9,2024-04-12,183
2023-10-23,6768,議借,208,0.18,65.7,2024-04-23,183
2023-11-22,6768,議借,536,0.31,65.0,2024-05-22,182
2023-12-28,6768,議借,62,3.35,67.0,2024-06-28,183
2024-01-12,6768,議借,200,0.38,66.0,2024-07-12,182
2024-01-30,6768,競價,60,3.0,67.9,2024-07-30,182
2024-01-30,6768,競價,20,3.0,67.9,2024-07-30,182
2024-04-23,6768,議借,6500,0.57,81.7,2024-10-23,183
2024-05-09,6768,競價,7,3.0,91.4,2024-11-08,183
2024-05-17,6768,議借,143,3.0,95.7,2024-11-15,182
2024-06-11,6768,議借,38,3.31,95.0,2024-12-11,183
2024-06-13,6768,議借,883,6.15,93.9,2024-12-13,183
2024-07-02,6768,議借,885,0.35,87.2,2025-01-02,184
2024-07-05,6768,議借,520,0.01,84.0,2025-01-03,182
2024-07-11,6768,競價,8,4.0,86.0,2025-01-10,183
2024-08-01,6768,議借,716,0.48,104.0,2025-01-31,183
2024-08-06,6768,議借,54,5.25,87.5,2025-02-06,184
2024-08-19,6768,競價,60,4.0,86.8,2025-02-19,184
2024-08-19,6768,競價,20,4.0,86.8,2025-02-19,184
2024-08-19,6768,競價,30,4.0,86.8,2025-02-19,184
2024-08-22,6768,議借,670,0.38,84.6,2025-02-21,183
2024-08-22,6768,議借,1500,0.02,84.6,2025-02-21,183
2024-08-23,6768,議借,41,3.6,84.2,2025-02-21,182
2024-09-05,6768,議借,860,0.25,86.6,2025-03-05,181
2024-09-05,6768,議借,240,0.37,86.6,2025-03-05,181
2024-09-11,6768,議借,50,0.02,90.2,2025-03-11,181
2024-09-11,6768,議借,670,0.38,90.2,2025-03-11,181
2024-09-18,6768,議借,579,0.37,89.4,2025-03-18,181
2024-10-01,6768,議借,1000,0.02,106.0,2025-04-01,182
