date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2023-08-11,8105,議借,250,3.5,14.05,2024-02-09,182
2023-08-17,8105,議借,442,4.0,13.85,2024-02-16,183
2023-08-21,8105,競價,47,2.0,13.8,2024-02-21,184
2023-08-23,8105,議借,500,4.0,13.8,2024-02-23,184
2023-10-23,8105,議借,1032,0.05,12.25,2024-04-23,183
2023-11-21,8105,議借,3327,0.3,12.9,2024-05-21,182
2023-12-21,8105,競價,52,2.0,13.1,2024-06-21,183
2024-02-01,8105,議借,307,0.41,13.5,2024-08-01,182
2024-02-21,8105,議借,575,3.0,13.95,2024-08-21,182
2024-03-08,8105,競價,37,2.0,14.35,2024-09-06,182
2024-03-08,8105,議借,300,3.5,14.35,2024-09-06,182
2024-03-11,8105,議借,300,3.5,14.65,2024-09-11,184
2024-03-15,8105,競價,7,3.0,14.0,2024-09-13,182
2024-03-15,8105,議借,278,3.3,14.0,2024-09-13,182
2024-03-15,8105,議借,230,3.5,14.0,2024-09-13,182
2024-03-20,8105,議借,399,3.5,14.15,2024-09-20,184
2024-03-28,8105,競價,14,3.0,14.0,2024-09-27,183
2024-05-09,8105,議借,300,5.6,12.8,2024-11-08,183
2024-05-23,8105,議借,126,0.05,12.9,2024-11-22,183
2024-05-29,8105,議借,77,3.85,15.0,2024-11-29,184
2024-05-30,8105,議借,245,3.85,15.1,2024-11-29,183
2024-05-30,8105,議借,250,6.3,15.1,2024-11-29,183
2024-05-31,8105,議借,250,6.3,14.9,2024-11-29,182
2024-06-26,8105,議借,104,4.5,16.2,2024-12-26,183
2024-07-04,8105,議借,230,3.0,16.55,2025-01-03,183
2024-07-04,8105,議借,134,3.0,16.55,2025-01-03,183
2024-07-10,8105,議借,111,7.0,18.1,2025-01-10,184
2024-07-10,8105,議借,100,4.5,18.1,2025-01-10,184
2024-07-10,8105,議借,446,4.5,18.1,2025-01-10,184
2024-07-15,8105,議借,323,6.5,19.2,2025-01-15,184
2024-07-15,8105,議借,164,7.0,19.2,2025-01-15,184
2024-07-16,8105,議借,585,0.02,21.1,2025-01-16,184
2024-07-18,8105,競價,41,4.5,23.3,2025-01-17,183
2024-07-18,8105,競價,30,5.0,23.3,2025-01-17,183
2024-07-19,8105,議借,40,6.0,22.0,2025-01-17,182
2024-07-19,8105,議借,51,8.0,22.0,2025-01-17,182
2024-07-19,8105,議借,12,6.0,22.0,2025-01-17,182
2024-07-22,8105,議借,100,3.5,20.45,2025-01-22,184
2024-07-23,8105,議借,316,4.5,20.65,2025-01-23,184
2024-07-30,8105,議借,100,8.0,19.1,2025-01-30,184
2024-07-31,8105,競價,3,5.0,19.3,2025-01-31,184
2024-08-09,8105,競價,11,5.0,16.85,2025-02-07,182
2024-08-12,8105,競價,5,5.0,17.8,2025-02-12,184
2024-08-14,8105,競價,22,5.0,17.8,2025-02-14,184
2024-08-15,8105,議借,133,16.0,17.75,2025-02-14,183
2024-08-28,8105,競價,1,6.0,17.95,2025-02-27,183
2024-08-29,8105,競價,110,4.5,18.15,2025-02-27,182
2024-08-29,8105,競價,6,4.5,18.15,2025-02-27,182
2024-09-02,8105,競價,2,6.0,19.1,2025-02-27,178
2024-09-02,8105,競價,8,6.0,19.1,2025-02-27,178
2024-09-05,8105,議借,142,16.0,18.3,2025-03-05,181
2024-09-12,8105,議借,132,16.0,17.45,2025-03-12,181
2024-09-25,8105,議借,78,16.0,17.05,2025-03-25,181
2024-09-27,8105,競價,40,6.0,17.2,2025-03-27,181
2024-10-08,8105,議借,187,4.9,16.85,2025-04-08,182
2024-10-09,8105,競價,139,1.0,16.35,2025-04-09,182
2024-10-15,8105,競價,20,3.0,16.5,2025-04-15,182
2024-10-18,8105,競價,5,3.0,17.1,2025-04-18,182
2024-10-24,8105,議借,999,0.41,17.1,2025-04-24,182
2024-10-25,8105,競價,10,3.0,17.15,2025-04-25,182
2024-10-29,8105,議借,223,0.41,16.85,2025-04-29,182
2024-11-13,8105,議借,267,3.5,16.1,2025-05-13,181
2024-11-13,8105,議借,50,8.5,16.1,2025-05-13,181
2024-11-13,8105,議借,1387,0.05,16.1,2025-05-13,181
2024-11-14,8105,議借,56,3.5,15.9,2025-05-14,181
2024-12-13,8105,議借,209,6.3,15.4,2025-06-13,182
2024-12-16,8105,議借,809,4.5,14.8,2025-06-16,182
2025-01-06,8105,競價,5,3.0,14.95,2025-07-04,179
2025-02-14,8105,議借,810,0.05,14.7,2025-08-14,181
2025-03-03,8105,議借,1746,0.41,14.25,2025-09-03,184
2025-03-12,8105,議借,1332,0.37,14.35,2025-09-12,184
2025-03-25,8105,競價,15,2.5,14.25,2025-09-25,184
2025-07-18,8105,議借,250,4.55,13.5,2026-01-16,182
